season,week,playerId,playerName,team,position,passYds,passTd,rushYds,rushTd,rec,recYds,recTd,fumblesLost
2022,1,00-0019596,T.Brady,TB,QB,212,1,-1,0,0,0,0,0
2022,2,00-0019596,T.Brady,TB,QB,190,1,-2,0,0,0,0,0
2022,3,00-0019596,T.Brady,TB,QB,271,1,-1,0,0,0,0,0
2022,4,00-0019596,T.Brady,TB,QB,385,3,0,0,0,0,0,0
2022,5,00-0019596,T.Brady,TB,QB,351,1,-3,0,0,0,0,0
2022,6,00-0019596,T.Brady,TB,QB,243,1,0,0,0,0,0,0
2022,7,00-0019596,T.Brady,TB,QB,290,0,1,0,0,0,0,0
2022,8,00-0019596,T.Brady,TB,QB,325,1,1,0,0,0,0,0
2022,9,00-0019596,T.Brady,TB,QB,280,1,0,0,0,0,0,0
2022,10,00-0019596,T.Brady,TB,QB,258,2,-3,0,0,0,0,0
2022,12,00-0019596,T.Brady,TB,QB,246,2,2,0,0,0,0,0
2022,13,00-0019596,T.Brady,TB,QB,281,2,-1,0,0,0,0,0
2022,14,00-0019596,T.Brady,TB,QB,253,1,0,0,0,0,0,0
2022,15,00-0019596,T.Brady,TB,QB,312,3,1,0,0,0,0,0
2022,16,00-0019596,T.Brady,TB,QB,281,1,1,0,0,0,0,0
2022,17,00-0019596,T.Brady,TB,QB,432,3,4,1,0,0,0,0
2022,18,00-0019596,T.Brady,TB,QB,84,1,0,0,0,0,0,0
2022,19,00-0019596,T.Brady,TB,QB,351,2,0,0,0,0,0,0
2022,16,00-0022824,A.Lee,ARI,P,4,0,0,0,0,0,0,0
2022,1,00-0023459,A.Rodgers,GB,QB,195,0,-1,0,0,0,0,0
2022,2,00-0023459,A.Rodgers,GB,QB,234,2,10,0,0,0,0,0
2022,3,00-0023459,A.Rodgers,GB,QB,255,2,-1,0,0,0,0,0
2022,4,00-0023459,A.Rodgers,GB,QB,251,2,1,0,0,0,0,0
2022,5,00-0023459,A.Rodgers,GB,QB,222,2,0,0,0,0,0,0
2022,6,00-0023459,A.Rodgers,GB,QB,246,1,0,0,0,0,0,0
2022,7,00-0023459,A.Rodgers,GB,QB,194,2,0,0,0,0,0,0
2022,8,00-0023459,A.Rodgers,GB,QB,203,2,11,0,0,0,0,0
2022,9,00-0023459,A.Rodgers,GB,QB,291,1,40,0,0,0,0,0
2022,10,00-0023459,A.Rodgers,GB,QB,224,3,4,0,0,0,0,0
2022,11,00-0023459,A.Rodgers,GB,QB,227,2,0,0,0,0,0,0
2022,12,00-0023459,A.Rodgers,GB,QB,140,2,-1,0,0,0,0,0
2022,13,00-0023459,A.Rodgers,GB,QB,182,1,4,0,0,0,0,0
2022,15,00-0023459,A.Rodgers,GB,QB,229,1,-3,0,0,0,0,0
2022,16,00-0023459,A.Rodgers,GB,QB,238,1,18,0,0,0,0,0
2022,17,00-0023459,A.Rodgers,GB,QB,159,1,2,1,0,0,0,0
2022,18,00-0023459,A.Rodgers,GB,QB,205,1,10,0,0,0,0,0
2022,5,00-0024243,M.Lewis,GB,TE,0,0,0,0,1,2,1,0
2022,9,00-0024243,M.Lewis,GB,TE,0,0,0,0,1,19,0,0
